번호,회사명,종목코드,폐지일자,폐지사유,비고
975,알에스넷,046430,2012-12-05,"기업의 계속성, 경영의 투명성 또는 기타 코스닥시장의 건전성 등을 종합적으로 고려하여 상장폐지가 필요하다고 인정",
974,큐리어스,045050,2012-11-27,"기업의 계속성, 경영의 투명성 또는 기타 코스닥시장의 건전성 등을 종합적으로 고려하여 상장폐지가 필요하다고 인정",
973,넷웨이브,047730,2012-11-17,기업의 계속성 및 경영의 투명성 등을 종합적으로 고려하여 상장폐지 기준에 해당한다고 결정,
972,어울림 네트,042820,2012-11-17,기업의 계속성 및 경영의 투명성 등을 종합적으로 고려하여 상장폐지 기준에 해당한다고 결정,
971,엑큐리스,048460,2012-11-16,피흡수합병,
970,코원에너지서비스,026870,2012-11-15,신청에 의한 상장폐지,
969,동양밸류스팩,122290,2012-11-07,SPAC 상장예비심사청구서 미제출 등,
968,티브로드도봉강북방송,035210,2012-11-01,상장폐지신청('12.09.26),
967,넥스콘테크,038990,2012-11-01,상장폐지신청('12.10.09),
966,한빛방송,043890,2012-11-01,상장폐지 신청('12.09.26),
965,미래에셋스팩1호,121950,2012-10-23,상장예비심사 청구서 미제출로 관리종목 지정후 1개월 이내 동 사유 미해소,
964,서울저축은행,016560,2012-10-17,자본잠식(자본금의 50/100이상 잠식) 2년 계속,
963,진흥저축은행,007200,2012-10-17,자본전액잠식,
